group,model,seed,f1_macro,roc_auc,auprc
interaction,Cross-Attn,1,0.7442909548975972,0.8951422426909857,0.5113415809171381
interaction,Cross-Attn,2,0.7423088122235013,0.9001791799957385,0.5174863428911319
interaction,Cross-Attn,3,0.7503284152073622,0.8973913963533114,0.5255901993739409
interaction,Concat,1,0.7245504764628948,0.8771974175974503,0.4622344469061119
interaction,Concat,2,0.7077715070433644,0.8762394298848571,0.42046321167146106
interaction,Concat,3,0.7240106979346468,0.8779174751494919,0.44947556896190793
interaction,Elementwise,1,0.7136353399619291,0.8729599410539024,0.43103891361604274
interaction,Elementwise,2,0.7182233392787881,0.873598683568574,0.43406810703024673
interaction,Elementwise,3,0.6927997016136841,0.8716084853707702,0.3886641871793888
head,Conv1D,1,0.7446642238492275,0.8985806008800016,0.5170998311840767
head,Conv1D,2,0.7438682615531489,0.8967996235881093,0.5131834645815522
head,Conv1D,3,0.7470719437608984,0.8955834783079376,0.5248371304797205
head,Linear,1,0.7402981198000678,0.8971786866354008,0.5013730561398657
head,Linear,2,0.7412575233486378,0.897332750794703,0.5133244322147755
head,Linear,3,0.7417516811327394,0.8968337078521792,0.5074127941401617
