model,f1_mean,f1_std,roc_mean,roc_std,auprc_mean,auprc_std
MLM,0.7585,0.0026,0.8976,0.0007,0.5326,0.006
No PT,0.7457,0.0012,0.8987,0.0021,0.5189,0.0074
Pairing,0.7619,0.0027,0.9017,0.0029,0.5454,0.0078
SSP,0.7383,0.002,0.893,0.0028,0.4906,0.003
