model,group,seed,f1_macro,roc_auc,auprc
No PT,baseline,1,0.7452701810689789,0.8964335787268745,0.5130660945024055
No PT,baseline,2,0.744805680357145,0.8991078418180999,0.5165640324002542
No PT,baseline,3,0.7471548108933627,0.9005601711347275,0.5271896469339066
MLM,single,1,0.7566438029216803,0.8968113593752376,0.5257080893085233
MLM,single,2,0.7614593976181159,0.8979845578685558,0.536951619831845
MLM,single,3,0.7574383995591405,0.8979676321062705,0.5350015000936104
SSP,single,1,0.7370398701697027,0.8952376733363456,0.4877604687609737
SSP,single,2,0.7405959930707849,0.8938323635420083,0.4937508689402405
SSP,single,3,0.7372379437206888,0.8898809421967103,0.4904126568947956
Pairing,single,1,0.7647400185170496,0.9049697327757773,0.5541011819106756
Pairing,single,2,0.7594312255228312,0.9005852959220905,0.5389604938589346
Pairing,single,3,0.7614292216665671,0.8995516267165701,0.543040830494859
