model,f1_mean,f1_std,roc_mean,roc_std,auprc_mean,auprc_std
CircMAC,0.7456,0.0034,0.8948,0.0056,0.5182,0.0114
Hymba,0.6881,0.0351,0.8304,0.0125,0.3821,0.0709
LSTM,0.6673,0.0027,0.8073,0.0045,0.3268,0.0052
Mamba,0.7186,0.0024,0.8175,0.0013,0.4363,0.0061
Transformer,0.6058,0.0099,0.7533,0.0027,0.2064,0.0137
