model,f1_mean,f1_std
All,0.7009,0.0121
CPCL,0.7611,0.0033
MLM,0.7585,0.0026
MLM+NTP,0.6951,0.003
MLM+SSP,0.7389,0.0028
NTP,0.7082,0.0156
No PT,0.7404,0.0062
SSP,0.7383,0.002
