seed,noise,oracle_g,oracle_g_std,model_g
1,0.0,1.0,0.0,0.1244108289744942
1,0.1,0.9000004112839873,1.1102230246251565e-16,0.1244108289744942
1,0.2,0.800000822567975,0.0,0.1244108289744942
1,0.3,0.7000012338519623,1.1102230246251565e-16,0.1244108289744942
1,0.4,0.60000164513595,1.1102230246251565e-16,0.1244108289744942
1,0.5,0.5000020564199374,0.0,0.1244108289744942
1,0.6,0.40000246770392495,5.551115123125783e-17,0.1244108289744942
1,0.7,0.30000287898791245,1.1102230246251565e-16,0.1244108289744942
1,0.8,0.20000329027189986,2.7755575615628914e-17,0.1244108289744942
2,0.0,1.0,0.0,0.16269161024453466
2,0.1,0.9000004112839873,1.1102230246251565e-16,0.16269161024453466
2,0.2,0.800000822567975,0.0,0.16269161024453466
2,0.3,0.7000012338519623,1.1102230246251565e-16,0.16269161024453466
2,0.4,0.60000164513595,1.1102230246251565e-16,0.16269161024453466
2,0.5,0.5000020564199374,0.0,0.16269161024453466
2,0.6,0.40000246770392495,5.551115123125783e-17,0.16269161024453466
2,0.7,0.30000287898791245,1.1102230246251565e-16,0.16269161024453466
2,0.8,0.20000329027189986,2.7755575615628914e-17,0.16269161024453466
3,0.0,1.0,0.0,0.1471018883190617
3,0.1,0.9000004112839873,1.1102230246251565e-16,0.1471018883190617
3,0.2,0.800000822567975,0.0,0.1471018883190617
3,0.3,0.7000012338519623,1.1102230246251565e-16,0.1471018883190617
3,0.4,0.60000164513595,1.1102230246251565e-16,0.1471018883190617
3,0.5,0.5000020564199374,0.0,0.1471018883190617
3,0.6,0.40000246770392495,5.551115123125783e-17,0.1471018883190617
3,0.7,0.30000287898791245,1.1102230246251565e-16,0.1471018883190617
3,0.8,0.20000329027189986,2.7755575615628914e-17,0.1471018883190617
