model,f1_mean,f1_std,roc_mean,roc_std,auprc_mean,auprc_std
CircMAC,0.7456,0.0034,0.8948,0.0056,0.5182,0.0114
"RNA-FM
(fine-tuned)",0.6377,0.0031,0.7479,0.0051,0.2968,0.0101
"RNA-MSM
(fine-tuned)",0.63,0.0045,0.7332,0.0088,0.2832,0.0076
"RNABert
(fine-tuned)",0.5964,0.0031,0.7265,0.0009,0.2617,0.0019
"RNAErnie
(fine-tuned)",0.5889,0.0023,0.7039,0.0041,0.2258,0.0064
